market_id,question,action,entry_price,predicted_prob,risk_amount,shares,timestamp,status,exit_price,pnl
558934,Will Spain win the 2026 FIFA World Cup?,BUY_YES,0.173,0.32486042391008896,20.0,115.60693641618498,2026-04-14T23:25:45.706261,OPEN,,0.0
558935,Will England win the 2026 FIFA World Cup?,BUY_YES,0.111,0.18434567484573638,20.0,180.18018018018017,2026-04-14T23:25:45.706261,OPEN,,0.0
558936,Will France win the 2026 FIFA World Cup?,BUY_NO,0.166,0.01,20.0,23.980815347721823,2026-04-14T23:25:45.706261,OPEN,,0.0
558938,Will Argentina win the 2026 FIFA World Cup?,BUY_YES,0.089,0.17860592075645332,20.0,224.71910112359552,2026-04-14T23:25:45.706261,OPEN,,0.0
558944,Will Uruguay win the 2026 FIFA World Cup?,BUY_YES,0.01,0.07956208688267642,20.0,2000.0,2026-04-14T23:25:45.707264,OPEN,,0.0
558958,Will Australia win the 2026 FIFA World Cup?,BUY_YES,0.003,0.10436416246673795,20.0,6666.666666666667,2026-04-14T23:25:45.708217,OPEN,,0.0
558961,Will South Korea win the 2026 FIFA World Cup?,BUY_YES,0.005,0.06545314839538495,20.0,4000.0,2026-04-14T23:25:45.708217,OPEN,,0.0
558963,Will Morocco win the 2026 FIFA World Cup?,BUY_YES,0.016,0.06906912575173321,20.0,1250.0,2026-04-14T23:25:45.708217,OPEN,,0.0
558967,Will Ghana win the 2026 FIFA World Cup?,BUY_YES,0.003,0.09900769720473486,20.0,6666.666666666667,2026-04-14T23:25:45.708816,OPEN,,0.0
558974,Will Switzerland win the 2026 FIFA World Cup?,BUY_YES,0.01,0.0838799889770672,20.0,2000.0,2026-04-14T23:25:45.709128,OPEN,,0.0
558976,Will Croatia win the 2026 FIFA World Cup?,BUY_YES,0.01,0.192097414260842,20.0,2000.0,2026-04-14T23:25:45.709128,OPEN,,0.0
558977,Will Haiti win the 2026 FIFA World Cup?,BUY_YES,0.002,0.07180028868750116,20.0,10000.0,2026-04-14T23:25:45.709128,OPEN,,0.0
558978,Will Curaçao win the 2026 FIFA World Cup?,BUY_YES,0.003,0.06761381003326011,20.0,6666.666666666667,2026-04-14T23:25:45.709128,OPEN,,0.0
558981,Will Congo DR win the 2026 FIFA World Cup?,BUY_YES,0.003,0.11792250621767263,20.0,6666.666666666667,2026-04-14T23:25:45.709128,OPEN,,0.0
558984,Will Cezchia win the 2026 FIFA World Cup?,BUY_YES,0.004,0.12960430257924505,20.0,5000.0,2026-04-14T23:25:45.709128,OPEN,,0.0
